path	occurrences	correct_entities	is_rule	relation
####################
CiC _CiC CiC	517500	74642	yes	CiC
CcSE _CcSE CcSE	31159	0	no	CiC
CiC CcSE _CcSE	24803	11	yes	CiC
CiC _CiC CcSE	17597	0	no	CiC
CiC CcSE NO_OP	8746	0	no	CiC
CuG GpBP _GpBP	6403	0	no	CiC
CiC _CiC CbG	6151	0	no	CiC
CiC _CiC _CrC	4341	0	yes	CiC
CiC _CiC NO_OP	3828	0	no	CiC
CdG GpBP _GpBP	2649	0	no	CiC
CcSE NO_OP _CcSE	2327	3	no	CiC
CiC _CiC CtG	2207	0	no	CiC
CdG GpPW _GpPW	1994	0	no	CiC
CiC _CrC CcSE	1975	0	no	CiC
CiC _CiC CrC	1853	1	no	CiC
CiC CrC _CiC	1666	0	no	CiC
CcSE NO_OP NO_OP	1460	0	no	CiC
CiC _CrC _CiC	1275	1	no	CiC
CiC NO_OP CrC	1268	0	no	CiC
CiC CrC NO_OP	1209	3	no	CiC
CiC CrC CcSE	1203	0	no	CiC
CrC CiC _CiC	1188	0	no	CiC
CiC _CiC CbA	1096	0	no	CiC
CuG GpCC _GpCC	1048	0	no	CiC
CiC NO_OP CbG	1036	0	no	CiC
CiC NO_OP CtG	1036	0	no	CiC
CiC CrC CbG	870	0	no	CiC
CcSE _CcSE CbG	864	0	no	CiC
CiC NO_OP _CiC	815	2	no	CiC
CdG GpCC _GpCC	755	0	no	CiC
CcSE _CcSE CiC	719	3	yes	CiC
CuG GpMF _GpMF	685	0	no	CiC
CiC _CrC NO_OP	621	6	no	CiC
CiC _CiC CeG	564	0	no	CiC
CiC CrC CtG	553	0	no	CiC
CuG GpBP NO_OP	553	0	no	CiC
CcSE _CcSE _CiC	531	0	yes	CiC
CiC CbG _CbG	477	0	yes	CiC
CiC CrC _CrC	415	2	no	CiC
CiC _PCiC NO_OP	400	0	no	CiC
CiC CiC _CiC	398	18	yes	CiC
CuG GpPW _GpPW	388	0	no	CiC
CiC CbA NO_OP	375	0	no	CiC
CiC _CiC CdG	370	0	no	CiC
CuG NO_OP _AeG	354	0	no	CiC
CbG GpPW _GpPW	347	0	no	CiC
CuG _CdG CiC	294	4	no	CiC
CuG GcG GcG	275	0	no	CiC
CiC _CiC CpD	272	0	no	CiC
CuG GcG _GcG	267	0	no	CiC
CiC _CrC CiC	255	0	no	CiC
CuG _Gr>G Gr>G	247	0	no	CiC
CbG _CeG CrC	241	0	no	CiC
CuG NO_OP _Gr>G	236	0	no	CiC
CbG GpMF _GpMF	230	0	no	CiC
CdG GpBP NO_OP	223	0	no	CiC
CbG GpBP _GpBP	214	0	no	CiC
CuG _Gr>G GpPW	208	0	no	CiC
CcSE _CcSE CrC	201	0	no	CiC
CdG NO_OP _AeG	199	0	no	CiC
CuG _GcG GcG	172	0	no	CiC
CuG _GcG _AeG	170	0	no	CiC
CiC CtG _AeG	170	0	no	CiC
CiC CbG _AeG	170	0	no	CiC
CdG NO_OP _CdG	168	0	no	CiC
CdG _AeG _DlA	162	0	no	CiC
CdG _AeG AeG	158	0	no	CiC
CuG _GiG GpBP	147	0	no	CiC
CdG GcG _GcG	137	0	no	CiC
CiC NO_OP CcSE	136	0	no	CiC
CiC _CiC CuG	135	0	no	CiC
CuG _GcG GpBP	135	0	no	CiC
CuG _GiG _AeG	130	0	no	CiC
CiC CbG GpBP	129	0	no	CiC
CdG NO_OP _Gr>G	126	0	no	CiC
CrC _CrC CrC	124	0	no	CiC
